COUNTYFIPS,NAMELSAD,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities,Physical Inactivity Percentage,Obesity Percentage,Limited Access To Healthy Foods
40045,Ellis County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48009,Archer County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51678,Lexington city,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
55005,Barron County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21187,Owen County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5143,Washington County,Arkansas,9.9,81.22719326,25.6,31.2,5.302934265
17087,Johnson County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27091,Martin County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20093,Kearny County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20169,Saline County,Kansas,8.8,72.01560983,27.2,34.9,6.027980397
18003,Allen County,Indiana,10.2,75.24857245,22.2,34.3,12.08793369
55123,Vernon County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1023,Choctaw County,Alabama,11,23.96276788,26.1,38.3,13.04427545
18075,Jay County,Indiana,10.1,37.99463605,19.7,28,11.17205103
21105,Hickman County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24023,Garrett County,Maryland,10,44.91145297,22.7,31.4,4.164770589
38017,Cass County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37097,Iredell County,North Carolina,9.6,65.66418084,19.2,33,5.755198998
47183,Weakley County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37009,Ashe County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8039,Elbert County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13123,Gilmer County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17017,Cass County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19123,Mahaska County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24027,Howard County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
28015,Carroll County,Mississippi,10.1,10.61621214,22.9,23.7,20.41903128
20003,Anderson County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27101,Murray County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31019,Buffalo County,Nebraska,8.8,78.66903822,22.2,32.8,9.453653722
46015,Brule County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48119,Delta County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
49013,Duchesne County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
55021,Columbia County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21057,Cumberland County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31085,Hayes County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18131,Pulaski County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19161,Sac County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
