COUNTYFIPS,NAMELSAD,Latitude,Lng,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities,Physical Inactivity Percentage,Obesity Percentage,Limited Access To Healthy Foods
4011,Greenlee County,33.2152,-109.2402,Arizona,8.8,45.38343013,15.3,25.1,14.04879402
21037,Campbell County,38.9465,-84.3795,Kentucky,10.3,92.59099362,22.5,32.3,8.904412508
36123,Yates County,42.6335,-77.1055,New York,10.6,42.9067382,26.3,30.7,0.179223658
45083,Spartanburg County,34.9309,-81.9908,South Carolina,11.2,72.78786664,28.1,34.7,14.1213262
13261,Sumter County,32.0399,-84.197,Georgia,13.6,52.21060971,21.5,25.9,5.215784377
18093,Lawrence County,38.8412,-86.4835,Indiana,9.3,70.93466857,25.1,28.8,2.928334474
18137,Ripley County,39.1035,-85.2624,Indiana,9,34.76299535,28.9,27.4,0.812497625
21131,Leslie County,37.0941,-83.3811,Kentucky,10.7,100,23.6,37,4.938101078
28145,Union County,34.4905,-89.0039,Mississippi,8.8,50.51595784,26.3,29.2,5.70424809
27127,Redwood County,44.4037,-95.2538,Minnesota,9.9,42.26290554,25.2,29.1,11.66466486
55001,Adams County,43.9696,-89.7704,Wisconsin,10.4,36.24431138,18.5,27.9,3.651122609
1111,Randolph County,33.2938,-85.4591,Alabama,11,36.80006983,22.5,24,13.18332823
13173,Lanier County,31.0379,-83.0628,Georgia,8.8,48.72990673,16.1,22.7,0.236588948
12039,Gadsden County,30.5795,-84.6136,Florida,16.1,48.84994287,33.1,40.7,2.694963049
20013,Brown County,39.8265,-95.5642,Kansas,9.6,54.9979968,25.3,34.6,13.68288498
39015,Brown County,38.9338,-83.8673,Ohio,9.5,38.221915,23.4,29.5,2.761825249
51027,Buchanan County,37.2666,-82.036,Virginia,9,25.13486596,32,25.6,1.112529988
12055,Highlands County,27.3433,-81.341,Florida,10.5,71.64173061,29.9,30.5,17.70815093
28035,Forrest County,31.1889,-89.2579,Mississippi,10.9,79.19902848,26.2,35.5,9.022379652
28137,Tate County,34.6503,-89.9448,Mississippi,10.1,23.85584712,27.9,37.7,14.07106648
31081,Hamilton County,40.873,-98.0229,Nebraska,9,49.39719421,22.2,29.9,2.73607659
51109,Louisa County,37.9786,-77.963,Virginia,8.8,26.10925105,18.6,30.2,0.544256055
27061,Itasca County,47.5095,-93.632,Minnesota,9,50.54152426,20.4,33.7,8.70401939
19007,Appanoose County,40.7432,-92.8686,Iowa,8.8,50.78761543,23.4,38.4,5.489304891
20155,Reno County,37.953,-98.086,Kansas,9.4,41.01471067,23.1,32.8,9.012606227
20047,Edwards County,37.8876,-99.3121,Kansas,8.9,51.926243,16.4,24.6,4.835866248
21169,Metcalfe County,36.9905,-85.6292,Kentucky,9,51.43083474,25.2,25.7,0.476170749
51065,Fluvanna County,37.8419,-78.2773,Virginia,9.6,40.04125959,18.6,29.8,3.157705463
48251,Johnson County,32.379,-97.3665,Texas,10,65.1357547,25.2,34.7,6.040265501
47181,Wayne County,35.2399,-87.7881,Tennessee,8.9,42.38293872,28.1,25.4,8.948168033
36099,Seneca County,42.7811,-76.8238,New York,9.7,57.97566027,26.8,36,2.060899464
21029,Bullitt County,37.9701,-85.6958,Kentucky,12.2,65.14350301,23.4,34.7,9.597419927
21203,Rockcastle County,37.3651,-84.316,Kentucky,8.9,29.18034709,22.9,28,0.239517086
40081,Lincoln County,35.703,-96.8809,Oklahoma,8.8,40.23867184,23.1,35.6,11.09871922
18025,Crawford County,38.2924,-86.4517,Indiana,9.7,75.27303276,26,25.4,5.492224672
18127,Porter County,41.4603,-87.0672,Indiana,9.8,77.04070146,21.2,31.8,7.945165084
37001,Alamance County,36.0437,-79.3994,North Carolina,8.8,73.09618808,20.4,33.3,11.11197591
21059,Daviess County,37.7318,-87.0873,Kentucky,10.8,76.13805661,24.3,27.8,5.62214195
21083,Graves County,36.7231,-88.6512,Kentucky,11.1,42.45305892,29,32.2,7.767903879
19179,Wapello County,41.0306,-92.4095,Iowa,10.6,64.23859649,19.4,29.1,23.13237959
47065,Hamilton County,35.1808,-85.1648,Tennessee,10.6,78.64876673,22.8,31.5,13.20721697
55105,Rock County,42.6712,-89.0716,Wisconsin,9.3,83.5465381,19.1,33.1,12.08473129
30023,Deer Lodge County,46.0608,-113.0678,Montana,9.2,77.53280275,24.1,24,2.743624722
48055,Caldwell County,29.8368,-97.6199,Texas,10.2,45.10061472,18.5,30.7,6.882631417
51103,Lancaster County,37.7345,-76.4632,Virginia,8.8,50.32042841,17.3,20.7,2.13356893
29041,Chariton County,39.5151,-92.9626,Missouri,9,31.91163325,23.3,30.2,2.50536854
18021,Clay County,39.3928,-87.1158,Indiana,11.7,63.47341019,26.3,24.2,5.555626558
13115,Floyd County,34.2632,-85.2143,Georgia,11.4,53.88664514,31.1,28.9,14.60484289
20057,Ford County,37.6917,-99.888,Kansas,10.3,67.04384306,27.4,32.5,8.255601593
13129,Gordon County,34.5032,-84.8759,Georgia,9,48.14808104,26.3,29.4,10.47668229
18095,Madison County,40.1616,-85.7194,Indiana,13.9,64.85383938,29,37.9,14.69691951
18145,Shelby County,39.5237,-85.7917,Indiana,11.6,45.73994059,23.8,33.6,4.856450973
42087,Mifflin County,40.6104,-77.617,Pennsylvania,9.1,45.94490382,19.4,22.9,6.940658061
29133,Mississippi County,36.8281,-89.2911,Missouri,11.2,31.10461067,34.7,29.5,1.305256698
31087,Hitchcock County,40.1763,-101.0423,Nebraska,9.4,No Data,25.4,35.1,37.60158398
27105,Nobles County,43.6742,-95.7534,Minnesota,9.9,57.68547105,25,28.9,9.894126871
37171,Surry County,36.4146,-80.688,North Carolina,9.5,40.89286441,23.9,25.3,2.981429174
31123,Morrill County,41.716,-103.0104,Nebraska,9.8,66.85838953,21.7,30.3,18.03479116
39065,Hardin County,40.6616,-83.6595,Ohio,10.7,55.99850271,30.6,35.5,3.297941
5039,Dallas County,33.9699,-92.6544,Arkansas,9.6,No Data,22.2,24.1,26.79262776
26113,Missaukee County,44.3374,-85.0947,Michigan,10.1,11.56306822,20.6,28.2,1.728223072
37025,Cabarrus County,35.3868,-80.5519,North Carolina,9.4,68.39970564,22.2,30.1,8.268493571
39083,Knox County,40.3988,-82.4215,Ohio,9,56.25810476,22.2,30.7,5.95064855
39089,Licking County,40.0916,-82.4831,Ohio,9.4,68.34202244,21.5,31.7,8.199547409
5053,Grant County,34.29,-92.4237,Arkansas,9,22.22595642,24.2,28.6,12.46475925
55027,Dodge County,43.4163,-88.7075,Wisconsin,9.1,67.52554671,19.2,34.2,2.717665953
26133,Osceola County,43.9898,-85.3252,Michigan,9.5,30.85260116,19.6,26.9,0.026946391
37153,Richmond County,35.0059,-79.7479,North Carolina,11.5,33.99515427,19.1,27.4,11.19245219
21011,Bath County,38.145,-83.7427,Kentucky,11.5,38.68518678,30.7,38.8,0.920171597
47017,Carroll County,35.9732,-88.4503,Tennessee,8.9,31.13035552,22.8,23.7,3.425359622
48005,Angelina County,31.2548,-94.6119,Texas,12.6,61.8224983,31.1,37.5,9.760302389
45011,Barnwell County,33.2661,-81.4349,South Carolina,13.5,53.10110075,27.8,35.9,0.013742511
45015,Berkeley County,33.1973,-79.9522,South Carolina,12.8,67.40720748,23.5,37.3,9.023946513
45035,Dorchester County,33.0793,-80.4067,South Carolina,11,69.0879133,23.8,33.1,6.839033916
45023,Chester County,34.692,-81.1595,South Carolina,13.2,49.3995172,29.2,36.8,9.100395864
47077,Henderson County,35.6542,-88.388,Tennessee,12.5,40.32194173,25.8,33.4,1.726459467
47109,McNairy County,35.1755,-88.5636,Tennessee,10.1,23.53595398,28.7,27.3,11.92773745
22119,Webster Parish,32.7135,-93.335,Louisiana,10.6,48.74414541,25.4,31.3,18.63345186
37147,Pitt County,35.5933,-77.3745,North Carolina,9.1,63.16578253,21,36.1,8.472951884
24045,Wicomico County,38.3733,-75.6208,Maryland,11.4,62.60824648,24.7,36.1,9.054757528
21109,Jackson County,37.4198,-84.0058,Kentucky,11,72.13576404,26.9,32.4,3.703323508
21115,Johnson County,37.8466,-82.8315,Kentucky,11.7,52.34201062,31,37.5,1.805241762
21121,Knox County,36.8906,-83.854,Kentucky,9.1,40.15933256,29.2,30.6,17.90261017
26075,Jackson County,42.2485,-84.4234,Michigan,9.7,66.03826569,23.4,33.6,10.85493732
47113,Madison County,35.6081,-88.8385,Tennessee,12.7,56.37984007,29.1,38.6,13.57312911
1031,Coffee County,31.4027,-85.9882,Alabama,13.8,55.43765516,29.3,33.3,8.991895002
19069,Franklin County,42.7325,-93.2625,Iowa,9.1,66.95692884,18.9,37.7,5.708234777
13031,Bulloch County,32.3968,-81.7432,Georgia,10.1,51.74387969,18.6,33.9,8.438024022
51053,Dinwiddie County,37.0759,-77.6323,Virginia,10.6,17.71722439,21.9,32.8,8.245257453
51073,Gloucester County,37.416,-76.5434,Virginia,9,56.70953389,17.8,26.9,1.560725955
51083,Halifax County,36.7669,-78.9366,Virginia,11.4,31.66579289,27,31,10.34898034
13039,Camden County,30.9306,-81.6699,Georgia,9.4,41.26858433,24.7,31.9,17.80788531
40111,Okmulgee County,35.6466,-95.9643,Oklahoma,8.9,46.88162919,27.6,30,16.19055045
35009,Curry County,34.5742,-103.347,New Mexico,9.9,71.23366959,27.9,31.4,12.93207388
13303,Washington County,32.9695,-82.7959,Georgia,8.8,36.07872752,20,21.1,12.9389806
55079,Milwaukee County,43.0072,-87.9669,Wisconsin,9.5,96.93078762,23.3,32.2,2.315456753
2060,Bristol Bay Borough,58.7439,-156.7,Alaska,9.1,5.416248746,20.1,21.3,11.67936327
28019,Choctaw County,33.3473,-89.2484,Mississippi,12.4,8.377208377,25,25.7,6.356234168
46017,Buffalo County,44.0763,-99.2048,South Dakota,12.1,No Data,22.6,32.3,12.05484954
29021,Buchanan County,39.6598,-94.8059,Missouri,11.7,70.61019495,30.9,33.7,11.56726861
